rank,content_id,client_id,position_tier,impressions_90d,ctr,pred_prob,ctr_gap_score,archetype,reason_low_ctr_vs_tier,reason_high_stakes,reason_model_flagged,high_confidence
3032,content_8e0298dc20fa,client_6208ef0f77,striking,1677,0.12,0.5944367579829749,0.05000000000000002,dual_underperformer,True,False,True,False
3033,content_56edd5b30328,client_6208ef0f77,striking,1135,0.26,0.5943755030258119,0.0,engagement_only_underperformer,False,False,True,False
3034,content_178b0367d8f4,client_434c9b5ae5,page_1,510,0.0,0.5943736965009118,0.24,ctr_only_underperformer,True,False,True,False
3035,content_f36b94a41da9,client_a88a7902cb,striking,1037,0.19,0.5943631049199671,0.0,healthy,False,False,True,False
3036,content_7882b8778b16,client_bbb965ab0c,page_1,1413,0.07,0.5943120822504371,0.16999999999999998,ctr_only_underperformer,True,False,True,False
3037,content_1bc2a01f84df,client_f369cb89fc,page_1,1291,0.15,0.5942802434251379,0.09,ctr_only_underperformer,True,False,True,False
3038,content_ac7c96ddf6be,client_19581e27de,striking,756,1.32,0.5942793894341166,0.0,healthy,False,False,True,False
3039,content_ea2a7c085cdf,client_f74efabef1,page_1,1083,0.0,0.5942291863720413,0.24,dual_underperformer,True,False,True,False
3040,content_925b9bd5432a,client_bbb965ab0c,page_1,878,0.11,0.5941896870818849,0.13,dual_underperformer,True,False,True,False
3041,content_effa21786d15,client_6208ef0f77,striking,604,0.0,0.5940836321317939,0.17,dual_underperformer,True,False,True,False
3042,content_64f497a12f72,client_19581e27de,page_1,4441,0.18,0.5940793495240996,0.06,ctr_only_underperformer,True,False,True,False
3043,content_25e25f9a736d,client_7f2253d7e2,page_1,685,0.29,0.5940728526881165,0.0,healthy,False,False,True,False
3044,content_49a7b5cf810a,client_19581e27de,page_1,3785,0.34,0.5940236754774074,0.0,healthy,False,False,True,False
3045,content_3d8cf5f7bfe2,client_f74efabef1,striking,572,0.17,0.5940172651755862,0.0,engagement_only_underperformer,False,False,True,False
3046,content_ef9b547897d0,client_6208ef0f77,page_1,2044,0.1,0.5940163006349941,0.13999999999999999,ctr_only_underperformer,True,False,True,False
3047,content_37f0390019e7,client_19581e27de,striking,3046,0.26,0.5939681203536863,0.0,healthy,False,False,True,False
3048,content_c8bafdb8705a,client_3fdba35f04,page_1,1184,0.17,0.5939678230509452,0.06999999999999998,dual_underperformer,True,False,True,False
3049,content_2c60a7005cb9,client_7f2253d7e2,page_1,1350,0.07,0.5939556323192238,0.16999999999999998,ctr_only_underperformer,True,False,True,False
3050,content_ae9e5bc4750c,client_6208ef0f77,striking,1484,0.0,0.5938845417696262,0.17,dual_underperformer,True,False,True,False
3051,content_fec82453d953,client_19581e27de,striking,1411,0.14,0.5938787350015969,0.03,dual_underperformer,True,False,True,False
3052,content_6c99350e52d8,client_349c41201b,page_1,879,0.34,0.5938777761849019,0.0,engagement_only_underperformer,False,False,True,False
3053,content_cd285594b32b,client_6208ef0f77,page_1,1134,0.09,0.5938733704446691,0.15,ctr_only_underperformer,True,False,True,False
3054,content_423c7cf07765,client_f74efabef1,striking,1356,0.15,0.5938613281056135,0.020000000000000018,ctr_only_underperformer,True,False,True,False
3055,content_4aa3bd47b90c,client_19581e27de,striking,964,0.1,0.5938436523700491,0.07,ctr_only_underperformer,True,False,True,False
3056,content_3acda3ab86ca,client_6208ef0f77,striking,1119,0.18,0.5938189416717715,0.0,healthy,False,False,True,False
3057,content_f8c66e2fcefd,client_4e07408562,striking,3439,0.06,0.5937316156464857,0.11000000000000001,dual_underperformer,True,False,True,False
3058,content_1d3ca44f94c1,client_6208ef0f77,striking,1734,0.0,0.5937309711235947,0.17,ctr_only_underperformer,True,False,True,False
3059,content_438be6c5d53e,client_f369cb89fc,page_1,670,0.15,0.5937276817612507,0.09,dual_underperformer,True,False,True,False
3060,content_55b60c31ff6d,client_f74efabef1,striking,1795,0.06,0.5937233198585578,0.11000000000000001,dual_underperformer,True,False,True,False
3061,content_965f0bacc237,client_19581e27de,page_1,2424,0.29,0.5937145384513765,0.0,healthy,False,False,True,False
3062,content_be105f30181f,client_6208ef0f77,striking,1023,0.2,0.5937012354287735,0.0,healthy,False,False,True,False
3063,content_cb4ea193f007,client_bbb965ab0c,striking,685,0.29,0.5936865778346188,0.0,engagement_only_underperformer,False,False,True,False
3064,content_f957b46b50c2,client_19581e27de,striking,2135,0.09,0.593662485580508,0.08000000000000002,dual_underperformer,True,False,True,False
3065,content_1b8f95e22a10,client_7f2253d7e2,striking,608,0.0,0.5935719302974599,0.17,ctr_only_underperformer,True,False,True,False
3066,content_9ab644e794aa,client_f74efabef1,page_1,2154,0.09,0.5935545498528512,0.15,dual_underperformer,True,False,True,False
3067,content_153ef109c6d9,client_19581e27de,page_1,1429,0.14,0.5935464868588591,0.09999999999999998,dual_underperformer,True,False,True,False
3068,content_d3858670d08c,client_19581e27de,page_1,3557,0.2,0.5935406777361638,0.03999999999999998,ctr_only_underperformer,True,False,True,False
3069,content_e26e5d72cc6b,client_bbb965ab0c,striking,1783,0.17,0.5935199958775049,0.0,engagement_only_underperformer,False,False,True,False
3070,content_507e12f93df2,client_6208ef0f77,striking,793,0.13,0.5935127323512074,0.04000000000000001,dual_underperformer,True,False,True,False
3071,content_aacb3f8b1b97,client_bbb965ab0c,striking,1932,0.16,0.5934303380981515,0.010000000000000009,dual_underperformer,True,False,True,False
3072,content_d02fcc3c5566,client_6208ef0f77,striking,905,0.22,0.5934120328140725,0.0,healthy,False,False,True,False
3073,content_e6821dc9f448,client_6208ef0f77,striking,1185,0.17,0.5934062454890578,0.0,engagement_only_underperformer,False,False,True,False
3074,content_d747e23f1430,client_bbb965ab0c,striking,989,0.1,0.5933893502443376,0.07,dual_underperformer,True,False,True,False
3075,content_e3c8ecc81acf,client_6208ef0f77,striking,2109,0.14,0.593350952686032,0.03,ctr_only_underperformer,True,False,True,False
3076,content_4c44c401ac9a,client_bbb965ab0c,page_1,600,0.17,0.5933126053916884,0.06999999999999998,dual_underperformer,True,False,True,False
3077,content_966ba3f28757,client_19581e27de,page_1,2910,0.45,0.5932910781150404,0.0,healthy,False,False,True,False
3078,content_165e75840c39,client_2c624232cd,page_1,1823,0.05,0.5932581779414791,0.19,ctr_only_underperformer,True,False,True,False
3079,content_3a003823c571,client_624b60c58c,page_1,834,0.0,0.593224691184201,0.24,ctr_only_underperformer,True,False,True,False
3080,content_0a2f8b4bb6e6,client_19581e27de,page_1,1698,0.47,0.5931872268747805,0.0,healthy,False,False,True,False
3081,content_cac3b69afa92,client_19581e27de,page_1,1537,0.72,0.5931702021257509,0.0,engagement_only_underperformer,False,False,True,False
3082,content_0c0476c0fc66,client_f74efabef1,striking,2354,0.0,0.5931686022137981,0.17,dual_underperformer,True,False,True,False
3083,content_ba4db5889b31,client_349c41201b,striking,1312,0.23,0.593145167658311,0.0,engagement_only_underperformer,False,False,True,False
3084,content_5e24a08784e5,client_f74efabef1,page_1,1848,0.16,0.5931153778342159,0.07999999999999999,ctr_only_underperformer,True,False,True,False
3085,content_663485f2517d,client_f369cb89fc,page_1,1631,0.18,0.5931067043875323,0.06,ctr_only_underperformer,True,False,True,False
3086,content_ad561001d2ee,client_6208ef0f77,striking,1090,0.18,0.5930953667240195,0.0,healthy,False,False,True,False
3087,content_b8b3cb82d86a,client_6208ef0f77,striking,786,0.13,0.5930944321000062,0.04000000000000001,dual_underperformer,True,False,True,False
3088,content_42fbb334788f,client_434c9b5ae5,striking,1242,0.16,0.5929820454159503,0.010000000000000009,dual_underperformer,True,False,True,False
3089,content_5755b6b5100d,client_6208ef0f77,striking,760,0.0,0.5929687183460247,0.17,ctr_only_underperformer,True,False,True,False
